"","label","AUC","precision","recall","accuracy","TP","FP","FN","TN","TPR","FPR"
"1","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"2","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"3","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"4","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"5","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"6","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"7","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"8","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"9","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"10","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"11","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"12","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"13","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"14","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"15","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"16","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"17","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"18","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"19","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"20","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"21","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"22","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"23","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"24","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"25","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"26","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"27","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"28","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"29","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"30","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"31","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"32","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"33","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"34","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"35","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"36","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"37","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"38","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"39","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"40","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"41","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"42","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"43","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"44","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"45","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"46","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"47","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"48","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"49","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"50","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"51","survived","0.9303",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"52","survived","0.9303",0.946153846153846,0.991935483870968,0.938931297709924,123,7,1,0,0.991935483870968,1
"53","survived","0.9303",0.946153846153846,0.991935483870968,0.938931297709924,123,7,1,0,0.991935483870968,1
"54","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"55","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"56","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"57","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"58","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"59","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"60","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"61","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"62","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
"63","survived","0.9303",0.945736434108527,0.983870967741935,0.931297709923664,122,7,2,0,0.983870967741935,1
