"","label","AUC","precision","recall","accuracy","TP","FP","FN","TN","TPR","FPR"
"1","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"2","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"3","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"4","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"5","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"6","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"7","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"8","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"9","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"10","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"11","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"12","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"13","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"14","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"15","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"16","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"17","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"18","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"19","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"20","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"21","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"22","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"23","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
"24","survived","0.6544",0.946564885496183,1,0.946564885496183,124,7,0,0,1,1
