"","label","AUC","precision","recall","accuracy","TP","FP","FN","TN","TPR","FPR"
"1","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"2","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"3","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"4","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"5","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"6","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"7","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"8","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"9","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"10","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"11","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"12","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"13","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"14","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"15","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"16","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"17","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"18","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"19","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"20","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"21","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"22","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"23","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"24","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"25","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"26","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"27","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"28","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"29","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"30","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"31","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"32","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"33","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"34","survived","0.8993",0.945736434108527,1,0.945736434108527,122,7,0,0,1,1
"35","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"36","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"37","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"38","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"39","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"40","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"41","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"42","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"43","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"44","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"45","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"46","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"47","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"48","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"49","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"50","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"51","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"52","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"53","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"54","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"55","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"56","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"57","survived","0.8993",0.953125,1,0.953488372093023,122,6,0,1,1,0.857142857142857
"58","survived","0.8993",0.960629921259842,1,0.961240310077519,122,5,0,2,1,0.714285714285714
"59","survived","0.8993",0.960629921259842,1,0.961240310077519,122,5,0,2,1,0.714285714285714
"60","survived","0.8993",0.96,0.983606557377049,0.945736434108527,120,5,2,2,0.983606557377049,0.714285714285714
"61","survived","0.8993",0.96,0.983606557377049,0.945736434108527,120,5,2,2,0.983606557377049,0.714285714285714
"62","survived","0.8993",0.967213114754098,0.967213114754098,0.937984496124031,118,4,4,3,0.967213114754098,0.571428571428571
"63","survived","0.8993",0.966942148760331,0.959016393442623,0.930232558139535,117,4,5,3,0.959016393442623,0.571428571428571
"64","survived","0.8993",0.966666666666667,0.950819672131147,0.922480620155039,116,4,6,3,0.950819672131147,0.571428571428571
"65","survived","0.8993",0.966101694915254,0.934426229508197,0.906976744186046,114,4,8,3,0.934426229508197,0.571428571428571
"66","survived","0.8993",0.974358974358974,0.934426229508197,0.914728682170543,114,3,8,4,0.934426229508197,0.428571428571429
"67","survived","0.8993",0.973684210526316,0.90983606557377,0.891472868217054,111,3,11,4,0.90983606557377,0.428571428571429
"68","survived","0.8993",0.973451327433628,0.901639344262295,0.883720930232558,110,3,12,4,0.901639344262295,0.428571428571429
"69","survived","0.8993",0.990990990990991,0.901639344262295,0.89922480620155,110,1,12,6,0.901639344262295,0.142857142857143
"70","survived","0.8993",0.990654205607477,0.868852459016393,0.868217054263566,106,1,16,6,0.868852459016393,0.142857142857143
"71","survived","0.8993",0.990566037735849,0.860655737704918,0.86046511627907,105,1,17,6,0.860655737704918,0.142857142857143
"72","survived","0.8993",0.990566037735849,0.860655737704918,0.86046511627907,105,1,17,6,0.860655737704918,0.142857142857143
"73","survived","0.8993",0.990384615384615,0.844262295081967,0.844961240310077,103,1,19,6,0.844262295081967,0.142857142857143
"74","survived","0.8993",0.990384615384615,0.844262295081967,0.844961240310077,103,1,19,6,0.844262295081967,0.142857142857143
"75","survived","0.8993",0.990291262135922,0.836065573770492,0.837209302325581,102,1,20,6,0.836065573770492,0.142857142857143
"76","survived","0.8993",0.98989898989899,0.80327868852459,0.806201550387597,98,1,24,6,0.80327868852459,0.142857142857143
"77","survived","0.8993",0.98989898989899,0.80327868852459,0.806201550387597,98,1,24,6,0.80327868852459,0.142857142857143
"78","survived","0.8993",0.989795918367347,0.795081967213115,0.798449612403101,97,1,25,6,0.795081967213115,0.142857142857143
"79","survived","0.8993",0.989690721649485,0.786885245901639,0.790697674418605,96,1,26,6,0.786885245901639,0.142857142857143
"80","survived","0.8993",0.989247311827957,0.754098360655738,0.75968992248062,92,1,30,6,0.754098360655738,0.142857142857143
